Hero Name 1,Hero Name 2,Similarity (%),Sources for Hero 1,Sources for Hero 2
NEBULO,NEBULON,85.7,"edges_df, nodes_df","edges_df, nodes_df"
OSHIMA,KOSHIMA,85.7,"edges_df, nodes_df","edges_df, nodes_df"
SHAKTI,SHAKATI,85.7,"edges_df, nodes_df","edges_df, nodes_df"
TRACER,TRACKER,85.7,"edges_df, nodes_df","edges_df, nodes_df"
TUNDRA,THUNDRA,85.7,"edges_df, nodes_df","edges_df, nodes_df"
WALRUS,WALRUSS,85.7,"edges_df, nodes_df","edges_df, nodes_df"
BUMPKIN,PUMPKIN,85.7,"edges_df, nodes_df","edges_df, nodes_df"
M'KAMBA,M'KUMBA,85.7,"edges_df, nodes_df","edges_df, nodes_df"
SLASHER,SMASHER,85.7,"edges_df, nodes_df","edges_df, nodes_df"
STRIDER,STRIKER,85.7,"edges_df, nodes_df","edges_df, nodes_df"
HATE-MONGER V,HATE-MONGER II,85.7,"edges_df, nodes_df","edges_df, nodes_df"
"PACE, MICHAEL","PAYNE, MICHAEL",85.7,"edges_df, nodes_df","edges_df, nodes_df"
"OSBORN, NORMAN","OSBORN, NORMIE",85.7,"edges_df, nodes_df","edges_df, nodes_df"
BEAUTIFUL DREAMER,BEAUTIFUL DREAMER II,85.0,"edges_df, nodes_df","edges_df, nodes_df"
"BLAKE, DR. DONALD","BLAKE, DR. DONALD (C",85.0,"edges_df, nodes_df","edges_df, nodes_df"
DORMA [ATLANTEAN],DORMA II [ATLANTEAN],85.0,"edges_df, nodes_df","edges_df, nodes_df"
HULK DOPPELGANGER,HULK DOPPELGANGER II,85.0,"edges_df, nodes_df","edges_df, nodes_df"
NOVA DOPPELGANGER,NOVA DOPPELGANGER II,85.0,"edges_df, nodes_df","edges_df, nodes_df"
PUCK DOPPELGANGER,PUCK DOPPELGANGER II,85.0,"edges_df, nodes_df","edges_df, nodes_df"
HERMES [GREEK GOD],HERCULES [GREEK GOD],85.0,"edges_df, nodes_df","edges_df, nodes_df"
"MACTAGGART, MOIRA |","MACTAGGERT, MOIRA KI",85.0,"edges_df, nodes_df","edges_df, nodes_df"
CAPTAIN AMERICA IV/S,CAPTAIN AMERICA V/RO,85.0,"edges_df, nodes_df","edges_df, nodes_df"
CAPTAIN MARVEL III/G,CAPTAIN MARVEL II/MO,85.0,"edges_df, nodes_df","edges_df, nodes_df"
CRIMSON DYNAMO II/BO,CRIMSON DYNAMO III/A,85.0,"edges_df, nodes_df","edges_df, nodes_df"
CRIMSON DYNAMO II/BO,CRIMSON DYNAMO IV/YU,85.0,"edges_df, nodes_df","edges_df, nodes_df"
CRIMSON DYNAMO II/BO,CRIMSON DYNAMO VI/VA,85.0,"edges_df, nodes_df","edges_df, nodes_df"
CRIMSON DYNAMO III/A,CRIMSON DYNAMO VI/VA,85.0,"edges_df, nodes_df","edges_df, nodes_df"
CRIMSON DYNAMO V/DIM,CRIMSON DYNAMO VIII/,85.0,"edges_df, nodes_df","edges_df, nodes_df"
CRIMSON DYNAMO VIII/,CRIMSON DYNAMO VI/VA,85.0,"edges_df, nodes_df","edges_df, nodes_df"
EMPRESS R'KILL [SKRU,EMPRESS S'BYLL [SKRU,85.0,"edges_df, nodes_df","edges_df, nodes_df"
FORGE | MUTANT X-VER,ROGUE | MUTANT X-VER,85.0,"edges_df, nodes_df","edges_df, nodes_df"
HAVOK | MUTANT X-VER,RAVEN | MUTANT X-VER,85.0,"edges_df, nodes_df","edges_df, nodes_df"
IKARIS | MUTANT X-VE,KARKAS | MUTANT X-VE,85.0,"edges_df, nodes_df","edges_df, nodes_df"
